TPENG ITEM CODE,BILL OF MATERIAL
16LTGF990091,"LED, CHAMP PFMVA FLOOD, YOKE MOUNT, 93W, 120-277VAC, 5000K, 3/4"" HUB"
16LTGH990035,"LED, CHAMP VMV, PENDANT MOUNT, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB"
16LTGH990036,"LED, CHAMP VMV, PENDANT MOUNT, 41W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB"
16LTGH990037,"LED, CHAMP VMV, PENDANT MOUNT, 54W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB"
16LTGH990092,"LED, CHAMP PVMV, PENDANT MOUNT, 25 DEG. ANGLE, 28W, 100-277VAC, 5000K"
16LTGH990093,"LED, CHAMP PVMV, PENDANT MOUNT, 25 DEG. ANGLE, 45W, 100-277VAC, 5000K"
16LTGH990094,"LED, CHAMP PVMV, PENDANT MOUNT, 25 DEG. ANGLE, 61W, 100-277VAC, 5000K"
16LTGH990108,"LED LINEAR , PENDANT MOUNT, 30W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K"
16LTGH990109,"LED LINEAR , PENDANT MOUNT, 40W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K"
16LTGH990110,"LED LINEAR , PENDANT MOUNT , 60W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K"
16LTGH990129,"LED LINEAR , PENDANT MOUNT, 30W, 100-240VAC, 5700K"
16LTGH990130,"LED LINEAR , PENDANT MOUNT, 40W, 100-240VAC, 5700K"
16LTGH990131,"LED LINEAR , PENDANT MOUNT , 60W, 100-240VAC, 5700K"
16LTGR990060,"RECEPTACLE GFCI KIT, FACTORY SEALED, 20A., 120VAC, 3/4"" NPT. DEAD END, CL 1, DIV 2, GROUPS B, C & D"
16LTGR990106,"RECEPTACLE GFCI KIT, FACTORY SEALED, 20A., 125VAC, 3/4"""
16LTGS990039,"LED, CHAMP VMV, STANCHION MOUNT,25 DEG. ANGLE, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K"
16LTGS990040,"LED, CHAMP VMV, STANCHION MOUNT,25 DEG. ANGLE, 41W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K"
16LTGS990041,"LED, CHAMP VMV, STANCHION MOUNT,25 DEG. ANGLE, 54W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K"
16LTGS990083,"LED, CHAMP PVMV, STANCHION MOUNT,25 DEG. ANGLE, 28W, 100-277VAC, 5000K"
16LTGS990084,"LED, CHAMP PVMV, STANCHION MOUNT,25 DEG. ANGLE, 45W, 100-277VAC, 5000K"
16LTGS990085,"LED, CHAMP PVMV, STANCHION MOUNT,25 DEG. ANGLE, 61W, 100-277VAC, 5000K"
16LTGS990086,"LED LINEAR ,INDUSTRIAL, STANCHION MOUNT, 25 DEG. ANGLE, 30W, 100-240VAC, 5700K"
16LTGS990087,"LED LINEAR ,INDUSTRIAL, STANCHION MOUNT, 25 DEG. ANGLE, 40W, 100-240VAC, 5700K"
16LTGS990088,"LED LINEAR ,INDUSTRIAL, STANCHION MOUNT, 25 DEG. ANGLE, 60W, 100-240VAC, 5700K"
16LTGS990103,"LED LINEAR ,STANCHION MOUNT ,25 DEG. ANGLE, 30W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K"
16LTGS990104,"LED LINEAR , STANCHION MOUNT ,25 DEG. ANGLE, 40W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K"
16LTGS990105,"LED LINEAR , STANCHION MOUNT ,25 DEG. ANGLE, 60W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K"
16LTGW990066,"LIGHT FIXTURE, SAFESITE 180 DEG LED WALL MOUNT, GRAY, 5700 LUMENS 52 WATTS, 100-277 VAC, COOL WHITE 5000K, CLEAR GLASS (UL 844 CLASS I, DIV. 2)"
16SPTS060009,"STEEL, ANGLE, L3 X 3 X 1/4, ASTM A36, HDG"
16SPTS060012,"STEEL PLATE, GALVANIZED, 1/4"" X 8"" X 10"""
16STUA120068,"BEAM CLAMP FOR 3/4"" CHANNEL"
16STUA120069,"CONDUIT HANGER FOR 3/4"" FOR BEAM CLAMP 3/4"""
16STUA260014,"CONDUIT STRAP, 3/4"" SS WITH SS6 HARDWARE, USE WITH 1 5/8"" STRUT CHANNEL"
16STUA260014,"CONDUIT STRAP, 3/4'' SS WITH SS6 HARDWARE, USE WITH 1 5/8'' STRUT CHANNEL"
16STUA260048,"3/4"" STAINLESS STEEL STRUT STRAP"
16STUS060003,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SOLID"
16STUS060056,"STRUT, HS-1-5/8"" X 1-5/8"", 12 GAUGE, HDG"
16STUS060064,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SLOTTED"
6CONF050331,"CONDULET, OUTLET BOX, 3/4"", TYPE ""GUAB"", GALVANIZED, W/ COVER AND GASKET 1"
6CONF110171,"CONNECTOR, 3/4"", LIQUIDTIGHT INSULATED THROAT, TYPE STB 1"
6CONF150181,"FITTING, CONDUIT BODY 3/4'', TYPE 'T', FORM 8, IRON ALLOY WITH COVER AND GASKET 1"
6CONF990203,"UNION, CONDUIT, 3/4"", TYPE ""UNY"" MALE/FEMALE 1"
6CONF990216,"NIPPLE, CONDUIT, 3/4"" X CLOSE 1"
6CONF990383,"SEAL, 1"" TYPE ""EYS"", VERTICAL/HORIZONTAL,FEMALE 1"
6CONF990417,"SEAL, 3/4"" TYPE ""EYS"", VERTICAL/HORIZONTAL,FEMALE 1"
6CONS110011,"CONDUIT 3/4"", FLEXIBLE LIQUIDTIGHT, PVC JACKET, STEEL CORE, TYPE UA/LA-GRAY 1"
6COSX990014,"TUMBLER SWITCH TOGGLE TYPE, CLASS I DIV 2, 20A, 120/277 v, 3/4'', LeverOperator: Lever Hubber Killark FXS 1"
6HWRX260002,SPRING NUT 1/2-13 316SS 1
6HWRX260009,"STUD, THREADED, 3/8"", X-BT-MR W10/15 SN 8, WITH NUT, 316 STAINLESS STEEL 1"
6HWRX260012,"WASHER, LOCK 1/2"", 316 STAINLESS STEEL 1"
6HWRX260081,"WASHER, FLAT 1/2"" 316 STAINLESS STEEL 1"
6HWRX260088,"MACHINE BOLT 1/2"" X 1-1/2"", HEX HEAD NC THREADS 316 STAINLESS STEEL 1"
6HWRX260098,"STUD, THREADED, 8MM, X-BT-GR M8/7 SN 8, W/O NUT, 316 STAINLESS STEEL 1"
6HWRX260169,"EXPANSION ANCHOR, 3/8"" x 1-1/2"", 316 STAINLESS STEEL, WITH FLAT WASHER AND NUT 1"
6JBXX990028,"JUCTION BOX, FOR STREET LIGHT POLE, NEMA 4X+7, CL I DIV 2, 12"" X 12"" X 6"",INCLUDE BREATHERS AND DRAINS 1"
6LGTP010024,"POLE, ROUND TAPERED, ALUMINUM, 30FT, WITH FIXED TENON 1"
6LTGB990007,"BRACKET, RIGHT ANGLE, FOR FLOOD LIGHT 1"
6LTGB990008,"TENON TOPPER, POLE SET SCREWS AND MOUNTING HARDWARE, FLOODLIGHT 1"
6LTGP990026,"LED, MONGOOSE HEAD, STREETLIGHT, WIDE, HOLOPHANE, MGLEDM P3 40K MVOLT FT UN GRSD 1"
6LTGP990154,"DIALIGHT, STREET LIGHT, MONGOOSE, ATEX, 12,500 LUMENS,100-277V AC, 125W, CL I , DIV 2 1"
6LTGR990149,"WEATHERPROOF ELECTRICAL BOX, 1 GANGS,3/4"" HUB SIZE, 2 INLETS, 6,38"" L 1"
6LTGR990150,"WEATHERPROOF COVER, VERTICAL, TOGGLE SINGLE POLE 125V, 15A,SWITCH INCLUDED 1"
6LTGR990151,"RECEPTACLE 20A, 125V, 2 POLE, GROUNDING WEATHER PROOF, FCLA2 1"
6LTGR990152,WHEATHERPROOF COVER FOR RECEPTACLE FCLA2 1
6STUA260014,"CONDUIT STRAP, 3/4'' SS WITH SS6 HARDWARE, USE WITH 1 5/8'' STRUT CHANNEL 1"
6STUS060003,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SOLID 1"
6STUS060056,"STRUT, HS-1-5/8"" X 1-5/8"", 12 GAUGE, HDG 1"
6STUS060064,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SLOTTED 1"
BLL180010,"WIRE, 1/C #12 AWG., STRANDED COPPER, 600V/1000V., XHHW BLACK (500FT REEL) 16C"
BLL180011,"WIRE, 1/C #12 AWG., STRANDED COPPER, 600V/1000V., XHHW GREEN (500FT REEL) 16C"
BLL180012,"WIRE, 1/C #12 AWG., STRANDED COPPER, 600V/1000V., XHHW WHITE (500FT REEL) 16C"
CONF070389,"1"" ADAPTOR, PVC TO RIGID 16"
CONF150181,"FITTING, CONDUIT BODY 3/4"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET 16"
CONF990045,"BUSHING, GROUNDING 3/4"", INSULATED THROAT, GROUND WIRE RANGE #4-#14 AWG 16"
CONF990046,"BUSHING, GROUNDING 1'', INSULATED THROAT, GROUND WIRE RANGE #4 - #14 AWG 16"
CONF990199,"UNION, CONDUIT, 1"", TYPE ""UNY"" MALE/FEMALE 16"
